api10,direction,wellname,welltype,operator,basin,subbasin,state,county,spuddate,cum12moil,cum12mgas,cum12mwater
4237140427,Horizontal,SILVER 48-20-29 2B2 302H,Oil,Exxon Mobil,Permian,Delaware,Texas,Pecos,2023-01-12,65642,26524,170013
4237140428,Horizontal,SILVER 48-20-29 2B3 303H,Oil,Exxon Mobil,Permian,Delaware,Texas,Pecos,2023-02-22,63599,44986,164721
4237140444,Horizontal,"BERRY, C. C. EST. 1A",Gas,Continental Resources,Permian,Delaware,Texas,Pecos,2033-03-03,115943,2773543,513539
4237140445,Horizontal,ZAUK STATE 37-39 E 5TB,Oil,Diamondback,Permian,Delaware,Texas,Pecos,2023-01-11,195227,230912,719664
4235300803,Vertical,"LITTLE, JESSIE 1",Oil,Scout Energy Partners,Permian,Eastern Shelf,Texas,Nolan,2023-03-12,3558,5472,0
4210330625,Vertical,"COWDEN, JERRY 2",,Silver Cross Energy Partners,Permian,Central Basin Platform,Texas,Crane,2023-06-26,747,2240,15087
4212335174,Horizontal,LACKEY-FRISBIE USW B 1,Oil,ConocoPhillips,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-05-01,338665,922803,877142
4212335201,Horizontal,ADAMS UNIT A 6,Oil,ConocoPhillips,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-01-27,199267,604942,87739
4212335202,Horizontal,ADAMS UNIT A 7,Oil,ConocoPhillips,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-01-29,274820,799507,76396
4212335203,Horizontal,ADAMS UNIT A 8,Oil,ConocoPhillips,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-01-30,229769,661963,56379
4212335204,Horizontal,ADAMS UNIT A 9,Oil,,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-01-31,319361,818607,59618
4212335229,Horizontal,SAGER 01-DUDERSTADT 01 SA1 01H,Gas,Marathon,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-03-30,43500,2470567,2396451
4212335230,Horizontal,SAGER 01-DUDERSTADT 01 SA2 02H,Gas,Marathon,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-04-01,48068,2330628,2260708
4212335231,Horizontal,SAGER 01 02H,Gas,Marathon,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-03-18,72386,1889212,1832536
4212335243,Horizontal,HOERMANN-KOLM 1H,Oil,Crescent Energy,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-01-19,221008,496175,57477
4212335244,Horizontal,HOERMANN-KOLM 201H,Oil,Crescent Energy,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-01-19,83300,250323,323412
4212335251,Vertical,BOEDEKER ETAL GU 3,Oil,Hurd Enterprises,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-01-28,77841,609807,201607
4212335278,Horizontal,HOERMANN-LANGHOFF B 1H,Oil,Crescent Energy,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-05-18,158347,759449,108273
4212335280,Horizontal,HOERMANN-LANGHOFF B 201H,Oil,Crescent Energy,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-05-20,125076,668334,391018
4212335302,Horizontal,HICKORY A 1H,Gas,Baytex Energy,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-06-12,48324,1593841,1546025
4212335303,Horizontal,HICKORY B 2H,Gas,Baytex Energy,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-06-12,47133,1282478,1244004
4203332614,Horizontal,YETI UNIT A 10-06 1AH,Oil,Surge Energy,Permian,Midland,Texas,Borden,2023-02-11,199148,149870,459943
4203332635,Horizontal,SHAFER 32-12 B UNIT A 5H,Oil,Highpeak Energy,Permian,Midland,Texas,Borden,2023-04-29,74407,20031,565130
4203332636,Horizontal,SHAFER 32-12 B UNIT L 5H,Oil,Highpeak Energy,Permian,Midland,Texas,Borden,2023-04-29,73803,20745,572110
,Vertical,STEPHENS 1,Oil,S.B. Street Operating,Barnett,Barnett,Texas,Young,2023-03-07,21,1374,41189
4250342541,Vertical,GRAHAM EST 2912 1,Oil,Stovall Operating,Barnett,Barnett,Texas,Young,2023-05-22,926,0,0
4250342553,Vertical,MARSHALL 7,Oil,Walsh & Watts,Barnett,Barnett,Texas,Young,2023-08-28,12518,23380,12090
4250342554,Vertical,CUSENBARY 2,Gas,Gannett Operating,Barnett,Barnett,Texas,Young,2023-08-03,0,105065,101913
4231745680,Horizontal,MIDNIGHT MATADOR 12-24 B 2WD,Oil,Birch Resources,Permian,Midland,Texas,Martin,2023-12-28,622,119501,1611
